what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252541684
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1387252544475
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1387252544659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252547761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252552963
started,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1387252556075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252556281
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1387252575507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252575567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252575913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252576146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252578938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252592429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252593854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1387252599014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252599033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252602696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252603398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252606116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252655598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252658142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1387252660119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252660133
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252668128
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387252668145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252670477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252758202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252764061
opened,editor,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.commitEditor",1387252773741
activated,editor,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.commitEditor",1387252773797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1387252777372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252777413
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387252777431
activated,editor,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.commitEditor",1387252782501
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252782566
closed,editor,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.commitEditor",1387252782566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387252783282
